Sample,Site ID,Stage,Treatment,Harvest,Date,Callibration,mefett,n,ndf,adf,ash,fettprot,elostm,cp,c,,Parameter:
US1.G.2.1,US1,G,1,2,1/23/2023,"   Gras, 1mm",7.74,1.37,64.08,36.64,8.44,1.47,47.57,8.56,43.87,,1. ME           metabolisable energy content   (in: MJ ME per kg of DM)
US1.G.2.2,US1,G,2,2,1/23/2023,"   Gras, 1mm",7.7,1.45,65.14,36.23,9.79,1.57,49.07,9.06,42.82,,2. Nitrogen     Total-Nn  in percent of dry matter    (in: % of DM)*
US1.G.2.3,US1,G,3,2,1/23/2023,"   Gras, 1mm",8.31,1.6,60.8,34.29,7.68,2.03,52.18,10.00,44.49,,3. NDF        (neutral detergent fibre) ndf in percent of drymatter    (in: % of DM)
US1.G.2.4,US1,G,4,2,1/23/2023,"   Gras, 1mm",8.68,1.64,62.3,33.37,8.15,1.51,54.79,10.25,43.9,,4. ADF        (acid detergent fibre) ndf in percent of dry matter    (in: % of DM)
US1.G.2.5,US1,G,5,2,1/23/2023,"   Gras, 1mm",7.91,1.6,67.12,36.35,8.38,1.31,51.05,10.00,44,,2. Cr_Ash          crude ash  in percent of drymatter    (in: % of DM)**
US1.G.2.6,US1,G,6,2,1/23/2023,"   Gras, 1mm",7.65,1.08,65.1,37.7,7.54,1.24,47.91,6.75,44.1,,7. Cr_Fat          crude fa  in percent of drymatter    (in: % of DM)**
US1.G.2.7,US1,G,7,2,1/23/2023,   US1 Klee 2022 2.-4.Schnitt,10.01,2.78,44.94,26.16,8.32,2.12,52.78,17.38,45.79,,5. CDOMD  (In vitro pepsin-cellulase solubility of organic matter  (de Boever)) (in: % of DM)
US1.G.2.8,US1,G,8,2,1/23/2023,   US1 Klee 2022 2.-4.Schnitt,9.85,2.77,45.5,27.43,7.94,1.91,51.33,17.31,46.48,,8. Crude_Protein (German definition:) =  Nitrogen (in: % of DM)  x 6.25
US1.G.2.9,US1,G,9,2,1/23/2023,   US1 Klee 2022 2.-4.Schnitt,8.87,2.26,50.52,29.81,8.99,1.93,51.95,14.13,44.44,,9. Carbon  Total-C  in percent of dry matter    (in: % of DM)*
US1.G.2.10,US1,G,10,2,1/23/2023,   US1 Klee 2022 2.-4.Schnitt,9.42,2.4,50.23,31.59,8.04,2.01,55.17,15.00,45.54,,
US1.G.2.11,US1,G,11,2,1/23/2023,   US1 Klee 2022 2.-4.Schnitt,10.21,2.57,47,30.28,7.6,1.84,58.33,16.06,46.42,,
US1.G.2.12,US1,G,12,2,1/23/2023,   US1 Klee 2022 2.-4.Schnitt,10.32,2.47,46.49,30.93,7.43,1.65,59.09,15.44,46.52,,
US1.G.2.13,US1,G,13,2,1/23/2023,"   US1 Kräuter, 1mm 2022 2.-4.Schnitt",8.89,1.51,54.04,30.92,8.58,1.98,50.12,9.44,44.6,,
US1.G.2.14,US1,G,14,2,1/23/2023,"   US1 Kräuter, 1mm 2022 2.-4.Schnitt",9.3,1.63,51.32,28.48,9.19,1.43,54.13,10.19,43.74,,
US1.G.2.15,US1,G,15,2,1/23/2023,"   US1 Kräuter, 1mm 2022 2.-4.Schnitt",9.63,1.76,50.74,27.11,10.71,2.49,58.11,11.00,43.17,,
US1.G.2.16,US1,G,16,2,1/23/2023,"   US1 Kräuter, 1mm 2022 2.-4.Schnitt",9.39,2.04,44.37,28.39,8.88,1.82,57.66,12.75,45.12,,
US1.G.2.17,US1,G,17,2,1/23/2023,"   US1 Kräuter, 1mm 2022 2.-4.Schnitt",8.07,1.58,55.09,32.28,7.92,1.58,50.12,9.88,44.31,,
US1.G.2.18,US1,G,18,2,1/23/2023,"   US1 Kräuter, 1mm 2022 2.-4.Schnitt",9.31,2.2,53.16,28.84,8.11,2.08,54.8,13.75,45.04,,
US1.G.2.19,US1,G,19,2,1/23/2023,"   Gras, 1mm",7.43,1.32,67.53,38.61,7.8,1.47,45.95,8.25,43.85,,
