Product Name,Date/Time of Analysis,Sample ID,Instrument Serial Number,Predicted Dry matter %,Predicted Protein As is %,Predicted ICP As is %,Predicted ADF As is %,Predicted NDF As is %,Predicted Fat As is %,Predicted Ash As is %,Predicted Lignin As is %,Predicted NDFICP As is %,Predicted Insoluble impurities As is %,Predicted Sugar As is %,Predicted 24dNDFr As is %,Predicted 30dNDFr As is %,Predicted 48dNDFr As is %,Predicted Calcium As is %,Predicted Chlorine As is %,Predicted Potassium As is %,Predicted Magnesium As is %,Predicted Phosphorus As is %,Predicted Sulfur As is %,Lab,Warning
Hay,4/3/2023 2:19:02 PM,220045,1921614,90.15,27.91,0.7,18.02,26.28,2,10.98,2.42,0.51,20.76,11.39,16.1,13.05,4.5,1.39,1.04,2.84,0.29,0.32,0.28,No,
Hay,4/3/2023 2:17:42 PM,220017,1921614,89.71,26.05,0.71,20.91,29.49,2,9.93,2.44,0.22,17.86,12.64,20.77,18.12,7.53,1.29,0.71,2.81,0.25,0.31,0.26,No,
Hay,4/3/2023 2:16:12 PM,220010,1921614,90.2,28.39,0.78,18.17,25.76,2.01,10.09,2.42,0.32,20.94,12.09,17.87,14.5,6.15,1.37,0.52,2.52,0.28,0.33,0.28,No,
Hay,4/3/2023 2:15:02 PM,220012,1921614,89.15,28.15,0.94,19.41,27.44,2.01,9.82,2.25,0.43,20.05,13.4,18.44,15.59,7.24,1.35,0.29,2.37,0.29,0.32,0.27,No,
Hay,4/3/2023 2:13:40 PM,220011,1921614,89.48,25.17,0.74,21.17,30.87,1.95,9.81,2.72,0.31,17.68,12.53,20.93,18.17,9.64,1.24,0.53,2.62,0.25,0.29,0.25,No,
Hay,4/3/2023 2:12:16 PM,220021,1921614,89.05,24.36,0.85,23.34,32.25,1.89,9.56,2.89,0.18,16.92,12.95,22.72,20.32,12.86,1.23,0.5,2.31,0.25,0.28,0.24,No,
Hay,4/3/2023 2:10:29 PM,220002,1921614,89.95,22.96,0.85,23.91,37.02,1.85,8.92,2.85,1.13,16.59,12.16,23.58,21.24,10.64,1.11,0.56,2.4,0.25,0.28,0.25,No,
Hay,4/3/2023 2:06:45 PM,220015,1921614,89.74,25.86,0.8,22.63,31.84,2,9.58,2.93,0.55,17.86,12.54,22.26,19.25,9.31,1.21,0.48,2.91,0.25,0.32,0.26,No,
Hay,4/3/2023 2:05:14 PM,220025,1921614,89.76,26.52,0.58,20.62,25.59,1.92,11.59,2.65,-0.5,18.98,11.2,18.15,16.41,9.89,1.46,1.56,2.62,0.27,0.29,0.27,No,
Hay,4/3/2023 2:03:50 PM,220001,1921614,90.14,26.75,0.63,19.72,26.93,1.95,10.67,2.76,0,19.35,12.05,19.1,16.06,8.29,1.33,0.97,2.77,0.25,0.31,0.27,No,
