"year","harvest_code","site","intensity","cut"
2021,1,"st paul","35-day",1
2021,2,"rosemount","35-day",1
2021,3,"st paul","45-day",1
2021,4,"rosemount","45-day",1
2021,5,"st paul","35-day",2
2021,6,"rosemount","35-day",2
2021,7,"st paul","45-day",2
2021,8,"rosemount","45-day",2
2021,9,"st paul","35-day",3
2021,10,"rosemount","35-day",3
2021,11,"st paul","45-day",3
2021,12,"rosemount","45-day",3
2021,13,"st paul","35-day",4
2021,14,"rosemount","35-day",4
2021,15,"st paul","45-day",4
2021,16,"rosemount","45-day",4
2021,17,"st paul","35-day",5
2021,18,"rosemount","35-day",5
2021,19,"st paul","45-day",5
2021,20,"rosemount","45-day",5
2022,1,"st paul","35-day",1
2022,2,"rosemount","35-day",1
2022,3,"st paul","45-day",1
2022,4,"rosemount","45-day",1
2022,5,"st paul","35-day",2
2022,6,"rosemount","35-day",2
2022,7,"st paul","45-day",2
2022,8,"rosemount","45-day",2
2022,9,"st paul","35-day",3
2022,10,"rosemount","35-day",3
2022,11,"st paul","45-day",3
2022,12,"rosemount","45-day",3
2022,13,"st paul","35-day",4
2022,14,"rosemount","35-day",4
2022,15,"st paul","45-day",4
2022,16,"rosemount","45-day",4
2022,17,"st paul","35-day",5
2022,18,"rosemount","35-day",5
2022,19,"st paul","45-day",5
2022,20,"rosemount","45-day",5
2023,1,"st paul","35-day",1
2023,2,"rosemount","35-day",1
2023,3,"st paul","45-day",1
2023,4,"rosemount","45-day",1
2023,5,"st paul","35-day",2
2023,6,"rosemount","35-day",2
2023,7,"st paul","45-day",2
2023,8,"rosemount","45-day",2
2023,9,"st paul","35-day",3
2023,10,"rosemount","35-day",3
2023,11,"st paul","45-day",3
2023,12,"rosemount","45-day",3
2023,13,"st paul","35-day",4
2023,14,"rosemount","35-day",4
2023,15,"st paul","45-day",4
2023,16,"rosemount","45-day",4
2023,17,"st paul","35-day",5
2023,18,"rosemount","35-day",5
2023,19,"st paul","45-day",5
2023,20,"rosemount","45-day",5
2024,1,"st paul","35-day",1
2024,2,"rosemount","35-day",1
2024,3,"st paul","45-day",1
2024,4,"rosemount","45-day",1
2024,5,"st paul","35-day",2
2024,6,"rosemount","35-day",2
2024,7,"st paul","45-day",2
2024,8,"rosemount","45-day",2
2024,9,"st paul","35-day",3
2024,10,"rosemount","35-day",3
2024,11,"st paul","45-day",3
2024,12,"rosemount","45-day",3
2024,13,"st paul","35-day",4
2024,14,"rosemount","35-day",4
2024,15,"st paul","45-day",4
2024,16,"rosemount","45-day",4
2024,17,"st paul","35-day",5
2024,18,"rosemount","35-day",5
2024,19,"st paul","45-day",5
2024,20,"rosemount","45-day",5
2025,1,"st paul","35-day",1
2025,2,"rosemount","35-day",1
2025,3,"st paul","45-day",1
2025,4,"rosemount","45-day",1
2025,5,"st paul","35-day",2
2025,6,"rosemount","35-day",2
2025,7,"st paul","45-day",2
2025,8,"rosemount","45-day",2
2025,9,"st paul","35-day",3
2025,10,"rosemount","35-day",3
2025,11,"st paul","45-day",3
2025,12,"rosemount","45-day",3
2025,13,"st paul","35-day",4
2025,14,"rosemount","35-day",4
2025,15,"st paul","45-day",4
2025,16,"rosemount","45-day",4
2025,17,"st paul","35-day",5
2025,18,"rosemount","35-day",5
2025,19,"st paul","45-day",5
2025,20,"rosemount","45-day",5
