,code,year,experiment,site,plot,cut,variety,harvest_point,drymatter,protein,adf,ndf,ndf48h,DM,CP,NDF,NDFD,ADF,EE,FA,Ash,NFC,NDFn,NDFDp,TDN.legume,DMI.legume,TDN.grass,DMI.grass,rfq.grass,rfq.legume,DDM.rfv,DMI.rfv,rfv
1,220048,2022,rallf,st. paul,2101,4 cuts,hx3,1,91.04,22.48688,20.911888,28.17688,6.982768,91.04,22.48688,28.17688,6.982768,20.911888,2.05,1.05,8.96,40.2986216,26.2044984,27.33655795,57.5268719,3.205592639,58.51126766,2.407546386,114.5273097,149.9249732,72.60963925,4.25881077,239.7137315
2,220049,2022,rallf,st. paul,2102,4 cuts,rr5,1,91.51,21.706172,27.013752,37.555704,10.551103,91.51,21.706172,37.555704,10.551103,27.013752,2.05,1.05,8.49,32.82702328,34.92680472,29.70593239,51.33401092,2.240891607,53.72181045,2.128327687,92.95741187,93.52354001,67.85628719,3.195253642,168.0760068
3,220050,2022,rallf,st. paul,2103,4 cuts,rr3,1,91.1,23.63134,18.55707,24.36925,8.03502,91.1,23.63134,24.36925,8.03502,18.55707,2.05,1.05,8.9,42.7552575,22.6634025,28.03525328,60.98993247,3.900171685,61.10478544,2.432225578,120.8297741,193.3912258,74.44404247,4.924238538,284.1707154
4,220051,2022,rallf,st. paul,2104,4 cuts,hx5,1,92.73,8.011872,32.529684,60.524871,23.405052,92.73,8.011872,60.524871,23.405052,32.529684,2.05,1.05,7.27,26.37999797,56.28813003,38.24095453,41.76933007,1.384395982,46.63946986,2.013930201,76.36474547,47.0124331,63.55937616,1.982656023,97.68711623
5,220052,2022,rallf,st. paul,2105,4 cuts,hx4,1,90.06,18.840552,30.206124,42.256152,14.09439,90.06,18.840552,42.256152,14.09439,30.206124,2.05,1.05,9.94,29.87122664,39.29822136,32.05867496,47.62598505,1.983623319,50.5551964,2.229151364,91.62210163,76.80651588,65.3694294,2.839823181,143.9051325
6,220053,2022,rallf,st. paul,2106,4 cuts,rr4,1,90.46,22.244114,21.48425,29.209534,8.982678,90.46,22.244114,29.209534,8.982678,21.48425,2.05,1.05,9.54,39.00101938,27.16486662,28.66449819,56.63978251,3.110434453,57.65167587,2.386582237,111.8621671,143.2311634,72.16376925,4.10824767,229.8190984
7,220054,2022,rallf,st. paul,2107,5 cuts,rr3,1,90.5,23.91915,17.34885,22.3897,6.23545,90.5,23.91915,22.3897,6.23545,17.34885,2.05,1.05,9.5,43.708429,20.822421,26.8403388,61.66906657,4.285685712,61.52435426,2.435427255,121.8195847,214.8733638,75.38524585,5.359607319,313.2056709
8,220055,2022,rallf,st. paul,2108,5 cuts,hx3,1,90.62,20.869786,25.337352,34.743708,9.569472,90.62,20.869786,34.743708,9.569472,25.337352,2.05,1.05,9.38,35.38856556,32.31164844,29.05412941,52.47337438,2.472305933,54.51700122,2.318226963,102.7502294,105.4717356,69.16220279,3.453862783,185.1757816
9,220056,2022,rallf,st. paul,2109,5 cuts,hx4,1,92.08,22.679304,21.666424,30.377192,8.2872,92.08,22.679304,30.377192,8.2872,21.666424,2.05,1.05,7.92,39.09990744,28.25078856,28.2027008,57.04248636,2.933251676,58.30801414,2.357799674,111.7712331,136.0324949,72.0218557,3.95033221,220.5505864
10,220057,2022,rallf,st. paul,2110,5 cuts,hx5,1,91.13,23.23815,25.051637,37.108136,7.253948,91.13,23.23815,37.108136,7.253948,25.051637,2.05,1.05,8.87,31.33128352,34.51056648,27.51662147,50.1111409,2.188086739,52.7096153,1.951504502,83.62849718,89.14432754,69.38477478,3.23379218,173.9348388
11,220058,2022,rallf,st. paul,2111,5 cuts,rr4,1,90.61,23.812308,17.977024,24.256297,7.321288,90.61,23.812308,24.256297,7.321288,17.977024,2.05,1.05,9.39,42.18933579,22.55835621,27.56133523,60.43418274,3.903329103,60.57126621,2.392969737,117.8416317,191.7841499,74.8958983,4.947168976,287.2268717
12,220059,2022,rallf,st. paul,2112,5 cuts,rr5,1,89.17,21.721812,20.357511,26.66183,12.760227,89.17,21.721812,26.66183,12.760227,20.357511,2.05,1.05,10.83,40.6026861,24.7955019,31.17279073,58.44750487,3.607655217,58.70968374,2.509790258,119.7959287,171.4296308,73.04149893,4.500816336,254.8421485
13,220060,2022,rallf,st. paul,2201,4 cuts,hx4,1,91.21,22.054578,21.288414,30.610076,7.11438,91.21,22.054578,30.610076,7.11438,21.288414,2.05,1.05,8.79,38.63805132,28.46737068,27.42394832,55.69294976,2.870705763,57.15127518,2.391284623,111.109728,129.9821722,72.31632549,3.920277754,219.7675055
14,220061,2022,rallf,st. paul,2202,4 cuts,rr3,1,91.1,23.00275,18.61173,24.70632,6.20391,91.1,23.00275,24.70632,6.20391,18.61173,2.05,1.05,8.9,43.0703724,22.9768776,26.81939624,60.31861226,3.782261436,60.6752423,2.487613491,122.7126433,185.4802935,74.40146233,4.857056818,280.133434
15,220062,2022,rallf,st. paul,2203,4 cuts,rr4,1,90.31,21.511842,21.954361,28.772766,12.092509,90.31,21.511842,28.772766,12.092509,21.954361,2.05,1.05,9.69,39.98948562,26.75867238,30.72942598,57.72312883,3.25895112,58.41940987,2.490831504,118.3031761,152.9405328,71.79755278,4.1706105,232.1237423
16,220063,2022,rallf,st. paul,2204,4 cuts,hx5,1,88.94,22.964308,16.356066,22.163848,8.796166,88.94,22.964308,22.163848,8.796166,16.356066,2.05,1.05,11.06,43.31331336,20.61237864,28.54065422,60.90857757,4.411242006,60.60052777,2.511087517,123.7180722,218.4410373,76.15862459,5.414222296,319.6431963
17,220064,2022,rallf,st. paul,2205,4 cuts,hx3,1,90.04,22.113824,18.125052,25.544348,8.346708,90.04,22.113824,25.544348,8.346708,18.125052,2.05,1.05,9.96,42.11993236,23.75624364,28.24221411,59.11787932,3.682280445,59.51747479,2.533219148,122.5778917,176.9826105,74.78058449,4.697712386,272.3237814
18,220065,2022,rallf,st. paul,2206,4 cuts,rr5,1,90.86,22.12441,22.242528,28.947996,11.875402,90.86,22.12441,28.947996,11.875402,22.242528,2.05,1.05,9.14,39.76395372,26.92163628,30.58526693,58.03305348,3.227690626,58.74259066,2.430615022,116.0818075,152.2867827,71.57307069,4.145364674,229.9972704
19,220065,2022,rallf,st. paul,2206,4 cuts,rr5,1,91.42,22.141924,22.571598,29.876056,12.058298,91.42,22.141924,29.876056,12.058298,22.571598,2.05,1.05,8.58,39.44334392,27.78473208,30.70670987,57.88845715,3.103987274,58.74135299,2.420271838,115.5854003,146.0853938,71.31672516,4.016594426,222.0545432
20,220066,2022,rallf,st. paul,2207,5 cuts,hx4,1,91.04,22.923872,20.66608,26.893216,8.33016,91.04,22.923872,26.893216,8.33016,20.66608,2.05,1.05,8.96,41.05543712,25.01069088,28.23122624,58.92858491,3.44620147,59.53054674,2.405411135,116.4190569,165.1055089,72.80112368,4.462091852,251.8180627
21,220067,2022,rallf,st. paul,2208,5 cuts,hx5,1,90.42,23.039016,18.002622,23.789502,4.918848,90.42,23.039016,23.789502,4.918848,18.002622,2.05,1.05,9.58,43.20674714,22.12423686,25.96611507,60.14877966,3.933845425,60.42298592,2.479612386,121.8094181,192.3707331,74.87595746,5.044241784,292.784832
22,220068,2022,rallf,st. paul,2209,5 cuts,rr3,1,90.66,23.181762,20.271576,27.596904,10.072326,90.66,23.181762,27.596904,10.072326,20.271576,2.05,1.05,9.34,39.76311728,25.66512072,29.38802446,58.40359322,3.380687923,58.97008483,2.355848039,112.9467957,160.5238392,73.1084423,4.348313854,246.4329089
23,220069,2022,rallf,st. paul,2210,5 cuts,rr4,1,91.3,24.84273,17.08223,22.45067,5.01237,91.3,24.84273,22.45067,5.01237,17.08223,2.05,1.05,8.7,43.5281469,20.8791231,26.02821368,62.09948676,4.23724661,61.99684684,2.337238133,117.8060118,213.927512,75.59294283,5.345052063,313.2156706
24,220070,2022,rallf,st. paul,2211,5 cuts,rr5,1,91.24,21.614756,20.62024,28.174912,8.695172,91.24,21.614756,28.174912,8.695172,20.62024,2.05,1.05,8.76,41.37257584,26.20266816,28.47359421,58.21683947,3.253330047,59.10242845,2.534147599,121.767705,153.982596,72.83683304,4.259108245,240.4805862
