Product Name,Date/Time of Analysis,Sample ID,Instrument Serial Number,Predicted Dry matter %,Predicted Protein As is %,Predicted ICP As is %,Predicted ADF As is %,Predicted NDF As is %,Predicted Fat As is %,Predicted Ash As is %,Predicted Lignin As is %,Predicted NDFICP As is %,Predicted Insoluble impurities As is %,Predicted Sugar As is %,Predicted 24dNDFr As is %,Predicted 30dNDFr As is %,Predicted 48dNDFr As is %,Predicted Calcium As is %,Predicted Chlorine As is %,Predicted Potassium As is %,Predicted Magnesium As is %,Predicted Phosphorus As is %,Predicted Sulfur As is %,Lab,Warning
Hay,11/27/2023 2:50:07 PM,230481,1921614,98.31,10.94,0.08,32.88,73.23,1.4,6.28,4.3,0.91,4.35,8.12,72.4,71.19,34.75,0.1,0.58,1.09,-0.01,0.1,0.12,No,"Mahalanobis Distance Warning exceeded,Mahalanobis Distance Action exceeded, Spectral outlier"
Hay,11/27/2023 2:49:24 PM,230481,1921614,97.2,10.04,0.19,34.3,72.54,1.3,6.68,4.71,0.86,3.67,9.28,70.81,69.62,36.24,0.09,0.51,1.36,-0.04,0.1,0.12,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:48:51 PM,230481,1921614,96.14,10.65,0.35,33.37,67.11,1.15,7.27,5.36,1.23,5.39,12.02,63.32,60.55,32.19,0.1,0.09,1.12,-0.04,0.13,0.14,No,"Mahalanobis Distance Warning exceeded,Mahalanobis Distance Action exceeded, Spectral outlier"
Hay,11/27/2023 2:47:52 PM,230488,1921614,95.56,11.26,0.46,33.36,68.63,1.45,8.97,4.15,1.9,6.19,7.74,47.99,39.77,12.28,0.1,0.26,1.64,0.11,0.18,0.09,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:47:21 PM,230488,1921614,95.58,10.8,0.44,35.85,67.88,1.28,9.76,4.85,1.88,6.01,5.66,47.09,38.67,15.71,0.2,0.45,1.89,0.1,0.18,0.09,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:46:49 PM,230488,1921614,94.86,10.75,0.54,37.02,66.65,1.21,10.19,5.03,2.05,6.13,6.72,44.81,35.44,16.55,0.2,0.26,1.97,0.08,0.2,0.1,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:45:42 PM,230487,1921614,96.55,11.27,0.35,35.26,71.77,1.45,8.45,3.77,1.66,6.23,6.29,59.67,52.1,22.61,0.14,0.84,1.64,0.08,0.17,0.11,No,"Mahalanobis Distance Warning exceeded,Mahalanobis Distance Action exceeded, Spectral outlier"
Hay,11/27/2023 2:45:06 PM,230487,1921614,96.54,11.58,0.34,36.73,70.26,1.36,9.03,4.37,1.69,6.23,6.22,56.25,49.23,23.78,0.16,0.69,1.84,0.07,0.17,0.11,No,"Mahalanobis Distance Warning exceeded,Mahalanobis Distance Action exceeded, Spectral outlier"
Hay,11/27/2023 2:44:29 PM,230487,1921614,95.05,11.55,0.57,36.71,67.88,1.28,8.77,5.02,1.93,6.57,8.76,53.88,45.65,24.61,0.16,0.62,1.68,0.05,0.19,0.12,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:43:05 PM,230482,1921614,96.86,8.62,0.31,35.02,72.2,1.47,8.55,4.09,1.28,3.88,5.58,55.75,48.7,17.48,0.15,1.06,1.45,0.11,0.13,0.07,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:42:26 PM,230482,1921614,96.24,8.76,0.34,35.11,72.06,1.48,8.26,4.09,1.35,4.54,6.75,56.02,47.32,20.62,0.01,0.28,1.44,0.1,0.15,0.07,No,"Mahalanobis Distance Warning exceeded,Mahalanobis Distance Action exceeded, Spectral outlier"
Hay,11/27/2023 2:41:51 PM,230482,1921614,95.06,9.03,0.44,35.83,69.6,1.34,8.51,4.41,1.57,4.35,8.58,52.11,43.65,18.69,0.05,0.34,1.41,0.08,0.16,0.08,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:40:35 PM,230485,1921614,99.34,8.64,0.12,33.32,76.22,1.5,5.92,3.9,0.92,3.44,8.08,70.62,67.51,27.09,0.03,0.96,0.61,0.05,0.09,0.08,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:39:24 PM,230485,1921614,96.79,9.39,0.38,33.99,72.46,1.35,6.53,4.41,1.24,3.83,8.78,64.86,61.82,30.7,0.03,0.73,0.81,0.04,0.11,0.1,No,"Mahalanobis Distance Warning exceeded,Mahalanobis Distance Action exceeded, Spectral outlier"
Hay,11/27/2023 2:38:38 PM,230485,1921614,96.03,8.25,0.23,36.67,70.55,1.18,7.94,4.08,1.19,3.7,9.39,62.29,57.15,33.32,0.02,0.39,1.27,0,0.13,0.11,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:37:03 PM,230489,1921614,97.05,14.71,0.2,26.59,63.45,1.6,8.63,2.5,1.13,8.91,11,62.33,60.69,26.02,0.24,1.11,1.92,0.02,0.17,0.18,No,"Mahalanobis Distance Warning exceeded,Mahalanobis Distance Action exceeded, Spectral outlier"
Hay,11/27/2023 2:36:32 PM,230489,1921614,97.11,14.76,0.06,26.8,62.95,1.51,8.68,2.31,1.29,9.1,10.86,60.64,58.33,26.74,0.09,0.65,2.03,0.01,0.2,0.19,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:36:00 PM,230489,1921614,95.77,14.66,0.08,26.81,60.11,1.46,8.76,1.72,1.53,9.78,11.98,56.37,51.76,28.12,0.05,0.53,2.15,-0.01,0.22,0.2,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:34:52 PM,230492,1921614,97.94,7.7,0.23,34.18,76.4,1.55,5.79,3.98,0.42,2.14,7.39,74.42,72.5,35.99,0.02,0.84,0.7,0.05,0.07,0.08,No,"Mahalanobis Distance Warning exceeded,Mahalanobis Distance Action exceeded, Spectral outlier"
Hay,11/27/2023 2:34:13 PM,230492,1921614,97.26,6.87,0.35,35.21,75.65,1.43,5.22,4.02,0.87,2.45,8.95,72.31,69.29,36.44,0.11,0.77,0.26,0.05,0.07,0.09,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:33:38 PM,230492,1921614,95.99,7.1,0.34,38.38,74.52,1.27,6.51,5.15,1.11,2.69,8.9,71.07,66.15,40.09,0.05,0.22,0.77,0.01,0.1,0.1,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:31:56 PM,230498,1921614,100.14,5.92,0.54,41.05,86.33,1.8,3.42,6.16,1.15,-0.65,5.79,88.05,86.76,41.23,0.33,1.64,-0.16,0.17,0.03,0.04,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:31:22 PM,230498,1921614,99.7,5.95,0.51,42.28,85.68,1.78,3.87,7.3,0.93,-0.72,4.59,87.46,86.4,43.61,0.24,1.5,0.09,0.14,0.04,0.04,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:30:49 PM,230498,1921614,99.07,5.08,0.66,43.75,84.06,1.67,4.02,7.33,0.98,-0.94,5.56,85.67,83.83,45.45,0.35,1.69,0,0.15,0.03,0.05,No,"Mahalanobis Distance Warning exceeded,Mahalanobis Distance Action exceeded, Spectral outlier"
Hay,11/27/2023 2:30:17 PM,230498,1921614,97.23,6.5,0.84,43.07,80.81,1.61,4.71,7.03,1.58,0.16,8.18,80.5,77.28,43.85,0.33,1.19,0.22,0.14,0.08,0.06,No,"Mahalanobis Distance Warning exceeded,Mahalanobis Distance Action exceeded, Spectral outlier"
Hay,11/27/2023 2:29:12 PM,230498,1921614,99.11,6.37,0.75,41.1,85.46,1.85,3.93,5.9,1.43,0.27,5.57,83.53,80.39,38.92,0.37,1.6,-0.19,0.2,0.05,0.04,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
Hay,11/27/2023 2:28:35 PM,230498,1921614,98.83,6.88,0.68,42.97,84.82,1.77,4.83,6.96,1.14,-0.25,4.65,84.35,81.44,40.6,0.37,1.75,0.27,0.19,0.05,0.03,No,"Mahalanobis Distance Warning exceeded,Mahalanobis Distance Action exceeded, Spectral outlier"
Hay,11/27/2023 2:28:04 PM,230498,1921614,98.59,5.86,0.66,43.13,83.89,1.73,4.64,4.94,1.07,-0.14,4.36,83.6,79.58,42.24,0.27,1.54,0.33,0.17,0.06,0.04,No,"Mahalanobis Distance Warning exceeded,Mahalanobis Distance Action exceeded, Spectral outlier"
Hay,11/27/2023 2:27:30 PM,230498,1921614,97.28,5.88,0.63,43.34,82.06,1.71,4.88,5.64,1.52,0.28,6.9,79.28,73.81,44.34,0.25,1.43,0.45,0.16,0.08,0.05,No,"Mahalanobis Distance Action exceeded, Spectral outlier,Mahalanobis Distance Warning exceeded"
